,Rank,Major,Early Career Pay,Mid-Career Pay,% High Meaning
0,1,Petroleum Engineering,97500,212500,61
1,2,Operations Research & Industrial Engineering,98300,191800,21
2,3,Interaction Design,74700,173600,54
3,4,Applied Economics and Management,76500,164400,54
4,5,Building Science,69000,163100,47
5,6,Actuarial Mathematics,70700,160000,52
6,6,Operations Research,92200,160000,57
7,8,Systems Engineering,87000,159100,58
8,9,Optical Science & Engineering,79600,158300,73
9,10,Information & Computer Science,76000,157800,63
10,11,Aeronautics & Astronautics,88200,156900,56
11,12,Aerospace Studies,62600,154300,-
12,13,Pharmacy,69400,154000,79
13,14,Cognitive Science,78000,153800,43
14,15,Managerial Economics,74700,153300,38
15,16,Quantitative Economics,74500,152700,43
16,17,Econometrics,72000,152100,35
17,18,Foreign Affairs,62900,152000,32
18,19,Chemical Engineering,85600,151800,55
19,20,Public Accounting,69700,151200,47
20,21,Political Economy,73100,150600,31
21,22,Corporate Accounting & Finance,76800,149600,50
22,23,Actuarial Science,76700,149000,42
23,24,Computer Engineering (CE),89100,148500,46
24,25,Electrical Power Engineering,84700,148300,72
25,26,Computer Science (CS) & Engineering,90500,148200,44
26,27,Marine Transportation Management,78700,148000,-
27,28,Marine Engineering,87900,147500,57
28,28,Operations & Information Systems Management,78800,147500,24
29,30,Electrical & Computer Engineering (ECE),88100,147000,49
30,31,Entrepreneurship & Marketing,63200,145800,45
31,32,Astronomy,75300,145600,52
32,33,Mechatronics,80900,144300,46
33,34,Computational & Applied Mathematics,85700,144100,46
34,35,Aeronautical Engineering,84200,143400,63
35,36,Welding Engineering,86600,143300,-
36,37,Electrical Engineering (EE),84900,143000,54
37,38,Electrical & Electronics Engineering (EEE),83900,142900,57
38,39,Naval Architecture & Marine Engineering,82800,142800,49
39,40,Instrumentation & Control Engineering,82800,141900,44
40,41,Construction Engineering Management,78100,141800,53
41,42,Computer Science (CS) & Mathematics,80300,141000,44
42,43,Engineering Physics,78600,140300,48
43,44,Mechanical & Aeronautical Engineering,80900,139900,62
44,45,Chemical & Biomolecular Engineering,86000,139700,51
45,45,Computer Science (CS),85400,139700,42
46,47,Jazz Studies,60000,139400,51
47,48,Bioscience,59900,139300,-
48,49,Information Management,67000,139000,33
49,50,Aerospace Engineering,83500,138100,53
50,51,Ocean Engineering (OE),78500,137800,49
51,51,Pharmacology,63500,137800,-
52,53,Nuclear Engineering,85200,137600,55
53,54,Bioengineering (BioE),79500,137300,67
54,55,Applied Mathematics,77200,137000,40
55,56,Paper Science,84900,136500,43
56,56,Physician Assistant Studies,109600,136500,83
57,58,Materials Science,76700,136200,-
58,59,Engineering,77800,135800,58
59,60,Industrial & Systems Engineering,82000,135700,48
60,61,Metallurgical Engineering,90800,135500,63
61,62,Materials Science & Engineering,81200,135300,47
62,63,Mining Engineering,87400,135200,59
63,64,Operations Management & Information Systems,75900,134900,43
64,65,Business & Information Technology (IT),71400,134700,50
65,66,Interactive Media Design,59600,134400,33
66,67,Energy Management,70100,134100,66
67,67,Physics,75500,134100,49
68,69,Materials Engineering,81200,133900,58
